Географска хијерархија - Округ,Географска хијерархија - Општина,Географска хијерархија - Основна школа,Школска година,Број ученика,Просек 6. разред,Просек 7. разред,Просек 8. разред,Просечан број бодова из ОШ,Просек бодова - Матерњи језик,Просек поена - Матерњи језик,Просек станд. скор - Матерњи језик,Просек бодова - Математика,Просек поена - Математика,Просек станд. скор - Математика,Просек бодова - Трећи тест,Просек поена - Трећи тест,Просек станд. скор - Трећи тест,Просек - завршни испит,Укупан просечан број поена
Град Београд,Вождовац,"ОШ ""Филип Филиповић"", Београд (Вождовац)",2024/25,105,4.27,4.17,4.32,51.03,9.85,13.97,558,10.41,14.80,564,9.54,15.90,552,29.82,92.62
Град Београд,Вождовац,"Школа за основно и средње образовање ""Вожд"", Београд (Вождовац)",2024/25,22,3.24,3.28,3.45,39.88,5.78,8.56,430,5.72,6.16,390,6.78,11.29,442,18.50,64.69
Град Београд,Врачар,"Огледна основна школа ""Владислав Рибникар"", Београд (Врачар)",2024/25,123,4.82,4.68,4.68,56.72,10.33,14.76,578,11.54,16.48,598,10.01,16.68,560,31.89,97.23
Град Београд,Врачар,"ОШ ""Владислав Петковић Дис"", Београд (Врачар)",2024/25,20,4.70,4.70,4.90,57.20,8.30,11.85,506,8.28,11.83,504,9.15,15.25,548,25.72,110.73
Град Београд,Врачар,"ОШ ""Јован Миодраговић"", Београд (Врачар)",2024/25,122,4.52,4.44,4.48,53.72,9.81,13.96,558,11.08,15.82,585,10.12,16.86,571,31.02,107.77
Град Београд,Врачар,"ОШ ""Краљ Петар II Карађорђевић"", Београд (Врачар)",2024/25,101,4.55,4.47,4.71,54.91,9.88,14.03,560,10.35,14.78,564,9.76,16.27,560,30.04,103.40
Град Београд,Врачар,"ОШ ""Народни херој Душан Дугалић"", Београд (Врачар)",2024/25,9,4.17,4.18,4.60,51.77,11.59,,,10.58,,,,,,31.97,
Град Београд,Врачар,"ОШ ""Народни херој Синиша Николајевић"", Београд (Врачар)",2024/25,95,4.49,4.40,4.51,53.62,9.61,13.73,552,10.18,14.54,559,9.46,15.76,547,29.25,92.74
Град Београд,Врачар,"ОШ ""Свети Сава"", Београд (Врачар)",2024/25,126,4.60,4.49,4.57,54.67,10.12,14.38,568,10.62,15.09,570,9.83,16.38,561,30.60,95.95
Град Београд,Врачар,"ОШ ""Светозар Марковић"", Београд (Врачар)",2024/25,112,4.57,4.35,4.45,53.48,10.46,14.95,582,11.77,16.82,605,9.88,16.46,554,32.11,96.73
Град Београд,Гроцка,"ОШ ""Алекса Шантић"", Калуђерица",2024/25,171,3.93,3.80,3.97,46.83,8.10,11.56,499,8.84,12.59,520,8.03,13.39,498,24.96,73.23
Град Београд,Гроцка,"ОШ ""Иво Лола Рибар"", Бегаљица",2024/25,23,4.14,3.89,3.77,47.21,6.76,9.65,452,4.38,6.26,392,8.63,14.39,536,19.77,73.76
Град Београд,Гроцка,"ОШ ""Илија Гарашанин"", Гроцка",2024/25,86,4.07,3.85,3.86,47.16,7.75,10.99,485,7.38,10.50,478,8.12,13.54,492,23.28,70.46
Град Београд,Гроцка,"ОШ ""Милоје Васић"", Калуђерица",2024/25,126,4.08,3.92,4.01,47.99,8.87,12.64,525,9.04,12.90,526,8.80,14.66,530,26.72,80.28
Град Београд,Гроцка,"ОШ ""Мића Стојковић"", Умчари",2024/25,50,3.97,3.88,3.93,47.10,10.88,15.35,592,9.31,13.17,531,9.73,16.22,574,29.93,78.50
Град Београд,Гроцка,"ОШ ""Никола Тесла"", Винча",2024/25,311,3.96,3.82,3.95,46.89,7.84,11.19,490,8.76,12.50,518,8.95,14.92,542,25.56,75.29
Град Београд,Гроцка,"ОШ ""Свети Сава"", Врчин",2024/25,72,4.06,3.91,4.03,47.95,11.48,16.40,618,11.87,16.95,607,10.35,17.26,595,33.70,89.73
Град Београд,Звездара,"ОШ ""1300 каплара"", Београд (Звездара)",2024/25,58,4.22,4.09,4.17,49.89,8.59,12.32,518,8.74,12.41,516,8.97,14.95,532,26.36,94.29
Град Београд,Звездара,"ОШ ""Бошко Буха"", Београд (Звездара)",2024/25,9,4.39,4.26,4.51,52.62,12.21,,,12.91,,,,,,36.62,
Град Београд,Звездара,"ОШ ""Вељко Дугошевић"", Београд (Звездара)",2024/25,106,4.24,4.17,4.12,50.11,8.78,12.42,520,10.21,14.49,558,9.13,15.22,535,28.18,93.95
Град Београд,Звездара,"ОШ ""Владислав Петковић Дис"", Београд (Звездара)",2024/25,45,4.08,3.92,3.89,47.54,7.33,10.36,470,6.88,9.75,463,7.21,12.01,453,21.42,81.67
Град Београд,Звездара,"ОШ ""Десанка Максимовић"", Београд (Звездара)",2024/25,107,4.24,4.04,4.05,49.35,8.12,11.36,494,8.47,11.88,505,8.22,13.70,494,24.91,87.08
Град Београд,Звездара,"ОШ ""Деспот Стефан Лазаревић"", Београд (Звездара)",2024/25,216,4.28,4.21,4.27,51.04,8.73,12.35,518,8.99,12.74,523,8.24,13.73,501,26.03,98.27
Град Београд,Звездара,"ОШ ""Драгојло Дудић"", Београд (Звездара)",2024/25,82,3.96,3.97,4.04,47.92,6.86,9.80,456,6.97,9.96,467,7.94,13.24,495,21.78,77.06
Град Београд,Звездара,"ОШ ""Иван Горан Ковачић"", Београд (Звездара)",2024/25,116,4.50,4.37,4.50,53.48,11.14,15.92,606,11.38,16.25,593,10.29,17.14,579,32.80,94.70
Град Београд,Звездара,"ОШ ""Јелена Ћетковић"", Београд (Звездара)",2024/25,147,4.50,4.34,4.45,53.11,10.65,15.14,587,11.01,15.64,581,9.53,15.89,550,31.22,109.67
Град Београд,Звездара,"ОШ ""Марија Бурсаћ"", Београд (Звездара)",2024/25,59,4.22,4.08,4.16,49.84,7.93,11.26,492,8.52,12.03,509,7.70,12.84,475,24.20,113.33
Град Београд,Звездара,"ОШ ""Павле Савић"", Београд (Звездара)",2024/25,263,4.17,4.02,4.04,48.94,8.59,12.28,517,9.79,13.98,548,8.99,14.98,529,27.37,97.76
Град Београд,Звездара,"ОШ ""Стеван Синђелић"", Београд (Звездара)",2024/25,91,4.30,4.15,4.25,50.81,8.87,12.61,525,9.28,13.21,532,9.14,15.24,540,27.32,101.59
Град Београд,Звездара,"ОШ ""Ћирило и Методије"", Београд (Звездара)",2024/25,125,4.35,4.28,4.31,51.75,9.54,13.58,549,9.98,14.21,552,9.39,15.66,551,28.94,91.82
Град Београд,Земун,"ОШ ""Бошко Палковљевић Пинки"", Београд (Земун)",2024/25,104,3.92,3.77,3.71,45.61,7.13,9.85,457,5.49,7.51,417,6.97,11.62,450,19.74,71.83
Град Београд,Земун,"ОШ ""Бранко Пешић"", Београд (Земун)",2024/25,63,2.98,2.89,3.01,35.51,6.07,6.44,374,3.61,3.10,329,4.85,8.08,336,15.12,64.18
Град Београд,Земун,"ОШ ""Бранко Радичевић"", Београд (Земун)",2024/25,200,4.33,4.21,4.32,51.47,8.79,12.53,523,9.57,13.68,542,9.04,15.06,545,27.40,95.43
Град Београд,Земун,"ОШ ""Гаврило Принцип"", Београд (Земун)",2024/25,104,4.13,3.97,3.92,48.05,8.63,12.34,518,8.75,12.55,519,8.58,14.30,511,26.01,86.24
Град Београд,Земун,"ОШ ""Горња варош"", Београд (Земун)",2024/25,105,4.38,4.31,4.37,52.24,9.06,12.95,533,10.22,14.60,560,8.95,14.92,525,28.23,105.08
Град Београд,Земун,"ОШ ""Илија Бирчанин"", Београд (Земун)",2024/25,110,4.04,3.97,4.06,48.27,7.90,11.06,487,9.08,12.69,522,8.89,14.82,537,25.95,77.08
Град Београд,Земун,"ОШ ""Коста Вујић"", Београд (Земун)",2024/25,15,4.85,4.70,4.75,57.22,11.64,16.63,623,13.04,18.63,641,10.90,18.17,607,35.59,132.35
Град Београд,Земун,"ОШ ""Лазар Саватић"", Београд (Земун)",2024/25,111,4.48,4.31,4.38,52.70,9.73,13.91,556,10.20,14.57,560,9.31,15.52,522,29.25,98.34
Град Београд,Земун,"ОШ ""Мајка Југовића"", Београд (Земун)",2024/25,68,4.45,4.26,4.26,51.83,9.29,13.26,541,10.53,15.04,569,9.46,15.76,557,29.27,94.46
Град Београд,Земун,"ОШ ""Михајло Пупин"", Београд (Земун)",2024/25,138,4.42,4.20,4.23,51.44,9.29,13.27,541,9.17,13.10,530,8.96,14.93,523,27.42,96.20
Град Београд,Земун,"ОШ ""Петар Кочић"", Београд (Земун)",2024/25,70,4.34,4.29,4.37,51.97,9.20,13.09,537,8.99,12.91,526,9.04,15.07,542,27.24,86.85
Град Београд,Земун,"ОШ ""Раде Кончар"", Београд (Земун)",2024/25,101,4.35,4.24,4.18,51.06,10.24,14.69,573,10.53,14.99,568,9.17,15.29,549,29.89,95.10
Град Београд,Земун,"ОШ ""Радивој Поповић"", Београд (Земун)",2024/25,16,4.84,5.00,5.00,59.36,13.34,,,13.43,,,,,,38.66,
Град Београд,Земун,"ОШ ""Сава Јовановић Сирогојно"", Београд (Земун)",2024/25,14,4.95,4.89,4.99,59.30,13.06,,,13.33,,,,,,38.06,
Град Београд,Земун,"ОШ ""Светислав Голубовић Митраљета"", Београд (Земун)",2024/25,91,4.10,3.92,3.89,47.65,8.80,12.57,524,8.91,12.73,522,8.54,14.23,521,26.25,76.64
Град Београд,Земун,"ОШ ""Светозар Милетић"", Београд (Земун)",2024/25,125,4.56,4.40,4.56,54.08,10.87,15.51,596,11.30,16.15,591,10.24,17.07,595,32.41,93.41
Град Београд,Земун,"ОШ ""Соња Маринковић"", Београд (Земун)",2024/25,112,4.21,4.12,4.22,50.21,10.48,14.92,581,11.09,15.86,585,9.81,16.34,571,31.39,100.63
Град Београд,Земун,"ОШ ""Станко Марић"", Угриновци",2024/25,82,4.19,4.03,4.17,49.58,9.07,12.95,533,9.79,13.99,548,9.53,15.88,554,28.38,80.78
Град Београд,Земун,"ОШ ""Сутјеска"" , Београд (Земун)",2024/25,23,3.43,3.38,3.51,41.27,6.22,7.38,397,4.71,4.74,362,5.90,9.83,393,18.01,71.74
Град Београд,Земун,"ОШ Сава Шумановић"", Београд (Земун)",2024/25,122,4.25,4.11,4.23,50.33,9.16,12.91,532,10.40,14.76,563,9.09,15.15,528,28.71,86.86
Град Београд,Земун,"Школа за ученике оштећеног вида ""Вељко Рамадановић"", Београд (Земун)",2024/25,12,4.19,4.19,4.43,51.27,12.43,9.00,518,11.35,7.75,498,8.40,14.00,504,34.62,
Град Београд,Лазаревац,"ОШ ""Војислав Вока Савић"", Лазаревац",2024/25,112,3.97,3.81,3.87,46.60,8.53,12.21,515,8.08,11.57,499,8.36,13.93,505,24.98,72.02
Град Београд,Лазаревац,"ОШ ""Вук Караџић"", Степојевац",2024/25,35,3.96,3.80,4.04,47.22,6.84,9.77,455,8.40,12.00,508,6.92,11.53,422,22.16,75.11
Град Београд,Лазаревац,"ОШ ""Диша Ђурђевић"", Лазаревац",2024/25,21,3.85,3.79,3.89,46.10,6.32,8.48,423,7.00,9.50,458,7.29,12.15,465,20.83,68.08
Град Београд,Лазаревац,"ОШ ""Дуле Караклајић"", Лазаревац",2024/25,162,4.19,4.06,4.19,49.76,8.74,12.07,512,8.88,12.38,516,8.79,14.65,533,26.51,78.56
Град Београд,Лазаревац,"ОШ ""Кнез Лазар"", Лазаревац",2024/25,128,3.94,3.80,3.86,46.36,7.73,10.99,485,7.73,10.97,487,7.70,12.83,488,23.18,70.56
Град Београд,Лазаревац,"ОШ ""Милорад Лабудовић Лабуд"", Барошевац",2024/25,13,4.14,3.95,3.97,48.27,6.22,8.88,433,10.58,15.12,570,9.05,15.08,557,25.85,74.12
Град Београд,Лазаревац,"ОШ ""Михаило Младеновић Сеља"", Дудовица",2024/25,30,3.86,3.64,3.74,44.98,7.67,11.17,484,10.14,14.86,558,8.87,14.78,541,26.49,83.88
Град Београд,Лазаревац,"ОШ ""Рудовци"", Рудовци",2024/25,25,3.66,3.74,3.90,45.17,7.36,10.02,465,6.97,9.23,452,7.03,11.72,455,21.54,68.17
Град Београд,Лазаревац,"ОШ ""Свети Сава"", Велики Црљени",2024/25,54,3.75,3.63,3.66,44.14,7.28,10.40,471,6.11,8.73,442,7.78,12.96,472,21.23,70.17
Град Београд,Лазаревац,"ОШ ""Слободан Пенезић Крцун"", Јунковац",2024/25,24,3.63,3.53,3.77,43.71,9.48,12.69,527,8.49,11.24,492,9.31,15.52,557,27.60,71.21
Град Београд,Младеновац,"ОШ ""Биса Симић"", Велика Крсна",2024/25,24,3.85,3.71,3.87,45.74,7.13,10.19,465,8.37,11.96,507,10.63,17.71,615,26.13,71.52
Град Београд,Младеновац,"ОШ ""Бора Лазић"", Влашка",2024/25,14,4.08,4.04,4.14,49.03,6.58,9.39,446,7.25,10.36,475,7.59,12.64,474,21.41,70.05
Град Београд,Младеновац,"ОШ ""Живомир Савковић"", Ковачевац",2024/25,24,3.87,3.76,3.91,46.17,6.50,9.29,444,8.09,11.56,499,7.18,11.96,466,21.77,80.82
Град Београд,Младеновац,"ОШ ""Коста Ђукић"", Младеновац (варош)",2024/25,81,3.97,3.77,3.88,46.50,7.21,10.22,466,6.54,9.25,452,7.59,12.64,476,21.38,79.10
Град Београд,Младеновац,"ОШ ""Милица Милошевић"", Јагњило",2024/25,27,4.11,3.97,3.98,48.23,7.57,10.46,472,8.09,11.23,492,8.99,14.98,534,24.76,73.08
Град Београд,Младеновац,"ОШ ""Момчило Живојиновић"", Младеновац (варош)",2024/25,199,4.34,4.17,4.25,51.03,8.33,11.72,503,8.02,11.30,494,7.94,13.23,488,24.35,83.23
Град Београд,Младеновац,"ОШ ""Свети Сава"", Младеновац (варош)",2024/25,97,4.14,4.00,3.99,48.52,8.31,11.23,491,9.40,13.53,539,8.73,14.56,517,26.55,87.84
Град Београд,Младеновац,"Школа за основно образовање и васпитање одраслих ""Младеновац"", Младеновац (варош)",2024/25,37,2.56,2.61,2.58,31.02,8.60,,,8.01,,,,,,25.24,79.91
Град Београд,Нови Београд,"Основна школа ""Нови Београд"", Београд (Нови Београд)",2024/25,9,5.00,4.93,4.96,59.56,13.03,,,13.22,,,,,,37.85,
Град Београд,Нови Београд,"ОШ ""20. октобар"", Београд (Нови Београд)",2024/25,166,4.50,4.34,4.53,53.48,10.08,14.44,569,10.83,15.48,578,9.52,15.87,553,30.42,105.66
Град Београд,Нови Београд,"ОШ ""Борислав Пекић"", Београд (Нови Београд)",2024/25,153,4.48,4.37,4.49,53.40,9.45,13.48,546,9.99,14.22,552,9.27,15.45,554,28.65,93.58
Град Београд,Нови Београд,"ОШ ""Бранко Радичевић"", Београд (Нови Београд)",2024/25,167,4.43,4.27,4.36,52.25,9.93,14.06,560,10.88,15.50,578,9.43,15.71,555,30.25,101.10
Град Београд,Нови Београд,"ОШ ""Влада Обрадовић Камени"", Београд (Нови Београд)",2024/25,32,3.25,3.26,3.17,38.74,3.24,4.45,325,2.77,3.72,341,3.48,5.80,300,9.75,66.50
Град Београд,Нови Београд,"ОШ ""Драган Лукић"", Београд (Нови Београд)",2024/25,200,4.43,4.33,4.49,53.03,10.46,14.94,582,11.12,15.88,586,9.51,15.85,557,31.08,94.63
Град Београд,Нови Београд,"ОШ ""Душко Радовић"", Београд (Нови Београд)",2024/25,94,4.62,4.48,4.52,54.49,9.78,13.97,558,11.06,15.80,584,9.63,16.05,557,30.47,103.35
Град Београд,Нови Београд,"ОШ ""Ђуро Стругар"", Београд (Нови Београд)",2024/25,54,4.33,4.17,4.35,51.41,9.01,12.87,531,10.38,14.83,565,9.44,15.73,543,28.83,85.38
Град Београд,Нови Београд,"ОШ ""Иван Гундулић"", Београд (Нови Београд)",2024/25,104,4.48,4.25,4.48,52.85,10.31,14.73,577,11.40,16.28,594,9.41,15.68,551,31.12,94.39
Град Београд,Нови Београд,"ОШ ""Јован Дучић"", Београд (Нови Београд)",2024/25,91,4.59,4.53,4.57,54.75,9.78,13.91,557,10.97,15.67,582,9.63,16.06,567,30.43,100.81
Град Београд,Нови Београд,"ОШ ""Јован Стерија Поповић"", Београд (Нови Београд)",2024/25,105,4.48,4.43,4.56,53.92,10.36,14.65,575,11.17,15.85,585,9.82,16.37,564,31.41,112.44
Град Београд,Нови Београд,"ОШ ""Кнегиња Милица"", Београд (Нови Београд)",2024/25,131,4.58,4.46,4.47,54.05,9.56,13.52,547,9.61,13.60,540,8.87,14.78,535,28.11,98.06
Град Београд,Нови Београд,"ОШ ""Краљ Александар Први"", Београд (Нови Београд)",2024/25,89,4.59,4.50,4.62,54.83,9.83,14.04,560,11.29,16.13,591,9.76,16.26,553,30.88,102.11
Град Београд,Нови Београд,"ОШ ""Лаза Костић"", Београд (Нови Београд)",2024/25,125,4.50,4.25,4.33,52.32,9.69,13.80,554,10.81,15.44,577,9.35,15.58,543,29.85,97.19
Град Београд,Нови Београд,"ОШ ""Марко Орешковић"", Београд (Нови Београд)",2024/25,45,4.53,4.35,4.41,53.16,8.94,12.77,529,10.90,15.57,580,9.78,16.30,578,29.61,83.85
Град Београд,Нови Београд,"ОШ ""Милан Ракић"", Београд (Нови Београд)",2024/25,104,4.20,4.08,4.13,49.60,7.38,10.54,474,7.91,11.29,494,8.41,14.02,498,23.69,77.02
Град Београд,Нови Београд,"ОШ ""Младост"", Београд (Нови Београд)",2024/25,134,4.51,4.30,4.38,52.75,9.96,14.24,565,10.95,15.64,581,9.38,15.63,535,30.29,93.20
Град Београд,Нови Београд,"ОШ ""Надежда Петровић"", Београд (Нови Београд)",2024/25,83,4.42,4.31,4.37,52.42,8.91,12.59,524,9.76,13.81,544,9.31,15.51,552,28.03,104.58
Град Београд,Нови Београд,"ОШ ""Радоје Домановић"", Београд (Нови Београд)",2024/25,135,4.53,4.45,4.53,54.04,10.72,15.31,591,11.76,16.80,604,9.85,16.41,574,32.32,101.23
Град Београд,Нови Београд,"ОШ ""Ратко Митровић"", Београд (Нови Београд)",2024/25,38,4.60,4.54,4.54,54.72,10.21,14.58,573,10.54,15.05,569,9.53,15.88,549,30.27,104.95
Град Београд,Нови Београд,"ОШ ""Савремена"", Београд (Нови Београд)",2024/25,56,4.67,4.63,4.54,55.37,7.98,11.39,495,8.80,12.57,519,8.63,14.38,515,25.41,106.89
Град Београд,Обреновац,"ОШ ""14. октобар"", Барич",2024/25,80,3.92,3.80,3.88,46.42,8.17,11.47,497,7.82,10.85,485,7.63,12.72,482,23.66,74.72
Град Београд,Обреновац,"ОШ ""Грабовац"", Грабовац",2024/25,44,3.68,3.62,3.75,44.20,6.55,9.12,439,4.77,6.53,398,6.36,10.60,413,17.82,62.73
Град Београд,Обреновац,"ОШ ""Дражевац"", Дражевац",2024/25,27,3.79,3.75,3.77,45.22,5.60,7.86,408,4.90,6.56,398,6.84,11.40,428,17.31,63.09
Град Београд,Обреновац,"ОШ ""Живојин Перић"", Стублине",2024/25,59,3.81,3.66,3.71,44.74,6.37,8.94,436,6.16,8.46,437,8.04,13.40,482,20.59,69.60
Град Београд,Обреновац,"ОШ ""Јефимија"", Обреновац",2024/25,113,4.05,3.92,3.94,47.64,8.57,12.25,516,9.03,12.90,526,9.05,15.08,551,26.65,81.81
Град Београд,Обреновац,"ОШ ""Јован Јовановић Змај"", Обреновац",2024/25,195,3.91,3.78,3.81,45.96,7.51,10.68,478,7.27,10.33,474,7.81,13.02,487,22.64,70.70
Град Београд,Обреновац,"ОШ ""Љубомир Аћимовић"", Обреновац",2024/25,10,4.19,4.49,4.61,53.19,11.87,,,10.64,,,,,,32.98,
Град Београд,Обреновац,"ОШ ""Никола Тесла"", Скела",2024/25,25,4.07,4.00,4.04,48.44,6.55,9.36,445,6.40,9.14,450,7.14,11.90,445,20.09,69.00
Град Београд,Обреновац,"ОШ ""Посавски партизани"", Обреновац",2024/25,106,4.06,3.86,4.04,47.82,8.29,11.80,505,8.28,11.73,502,8.24,13.73,512,24.84,74.66
Град Београд,Обреновац,"ОШ ""Прва обреновачка основна школа"", Обреновац",2024/25,68,3.93,3.78,3.78,45.94,7.05,10.06,462,6.74,9.52,458,7.55,12.58,461,21.25,76.38
Град Београд,Обреновац,"Школа за основно образовање одраслих ""Обреновац"", Обреновац",2024/25,125,2.33,2.41,2.70,29.74,9.03,,,6.37,,,,,,24.58,58.24
Град Београд,Палилула (Београд),"ОШ "" Зага Маливук"", Београд (Палилула)",2024/25,89,4.02,3.87,3.91,47.19,7.99,11.17,490,8.33,11.71,501,8.63,14.38,503,25.12,75.16
Град Београд,Палилула (Београд),"ОШ ""Васа Пелагић"", Београд (Палилула)",2024/25,135,3.93,3.82,3.94,46.76,7.20,10.16,465,7.25,10.19,472,7.27,12.11,456,21.78,76.55
Град Београд,Палилула (Београд),"ОШ ""Влада Аксентијевић"", Београд (Палилула)",2024/25,85,4.62,4.54,4.53,54.80,10.22,14.61,574,11.34,16.21,593,9.87,16.45,587,31.44,105.04
Град Београд,Палилула (Београд),"ОШ ""Др Арчибалд Рајс"", Београд (Палилула)",2024/25,54,4.25,4.17,4.12,50.18,8.56,12.26,516,8.67,12.39,516,8.68,14.47,508,25.92,102.70
Град Београд,Палилула (Београд),"ОШ ""Иван Милутиновић"", Београд (Палилула)",2024/25,48,4.19,4.06,4.09,49.38,7.90,11.22,491,7.53,10.67,481,7.67,12.79,472,23.13,73.55
Град Београд,Палилула (Београд),"ОШ ""Јован Поповић"", Београд (Палилула)",2024/25,94,4.08,4.09,4.17,49.36,9.96,13.87,556,9.37,12.99,528,9.01,15.02,544,28.48,80.21
Град Београд,Палилула (Београд),"ОШ ""Јован Ристић"", Борча",2024/25,152,4.20,4.02,4.21,49.75,8.34,11.89,507,8.09,11.55,499,8.30,13.83,507,24.75,92.64
Град Београд,Палилула (Београд),"ОШ ""Јован Цвијић"", Београд (Палилула)",2024/25,41,3.87,3.89,3.94,46.79,9.33,11.91,508,9.06,12.00,508,8.54,14.23,520,27.29,78.74
Град Београд,Палилула (Београд),"ОШ ""Краљица Марија"", Овча",2024/25,48,3.88,3.76,3.85,45.96,7.47,10.26,467,5.88,7.83,424,6.86,11.43,437,20.46,68.99
Град Београд,Палилула (Београд),"ОШ ""Милена Павловић Барили"", Београд (Палилула)",2024/25,150,4.36,4.11,4.27,50.99,9.27,13.21,539,9.64,13.74,543,8.92,14.87,529,27.83,92.80
Град Београд,Палилула (Београд),"ОШ ""Олга Петров"", Падинска Скела",2024/25,114,4.17,4.06,4.13,49.43,7.65,10.23,465,6.34,8.13,430,7.76,12.93,470,22.03,73.79
Град Београд,Палилула (Београд),"ОШ ""Ослободиоци Београда, Београд (Палилула)",2024/25,59,4.35,4.17,4.24,51.05,9.08,13.03,534,8.86,12.65,521,8.41,14.02,499,26.35,99.56
Град Београд,Палилула (Београд),"ОШ ""Раде Драинац"", Борча",2024/25,193,4.00,3.83,3.94,47.12,7.39,10.53,473,7.31,10.44,476,7.44,12.41,466,22.24,75.74
Град Београд,Палилула (Београд),"ОШ ""Старина Новак"", Београд (Палилула)",2024/25,91,4.52,4.39,4.44,53.44,9.74,13.70,552,10.97,15.53,579,9.88,16.46,561,30.65,97.36
Град Београд,Палилула (Београд),"ОШ ""Стеван Дукић"", Београд (Палилула)",2024/25,80,4.36,4.39,4.48,52.91,9.52,13.57,548,9.62,13.77,543,9.34,15.57,552,28.47,95.42
Град Београд,Палилула (Београд),"ОШ ""Стеван Сремац"", Борча",2024/25,172,4.04,3.97,4.02,48.09,8.18,11.68,502,7.96,11.38,495,8.17,13.62,503,24.31,89.23
Град Београд,Палилула (Београд),"ОШ ""Филип Вишњић"", Београд (Палилула)",2024/25,78,4.25,4.16,4.13,50.19,8.84,12.54,523,9.21,13.08,530,7.63,12.72,472,25.73,97.84
Град Београд,Палилула (Београд),"Школа за основно образовање одраслих ""Браћа Стаменковић"", Београд (Палилула)",2024/25,79,2.44,2.49,2.63,30.24,5.27,5.72,354,4.12,4.29,353,4.13,6.89,317,14.84,96.98
Град Београд,Раковица,"ОШ ""14. октобар"", Београд (Раковица)",2024/25,158,4.35,4.20,4.32,51.50,8.76,12.49,522,9.00,12.82,524,8.77,14.61,532,26.52,87.81
Град Београд,Раковица,"ОШ ""Бранко Ћопић"", Београд (Раковица)",2024/25,189,4.35,4.06,4.25,50.65,10.08,14.33,567,10.33,14.70,562,9.60,16.00,561,30.05,104.21
Град Београд,Раковица,"ОШ ""Владимир Роловић"", Београд (Раковица)",2024/25,78,4.12,3.99,3.99,48.40,8.64,11.82,504,8.37,11.65,498,7.47,12.44,471,24.63,84.44
Град Београд,Раковица,"ОШ ""Ђура Јакшић"", Београд (Раковица)",2024/25,73,4.48,4.46,4.52,53.85,9.25,13.15,540,9.68,13.89,545,9.07,15.12,542,28.00,85.97
Град Београд,Раковица,"ОШ ""Иво Андрић"", Београд (Раковица)",2024/25,143,4.44,4.33,4.47,52.94,9.43,13.41,544,10.26,14.61,560,9.35,15.59,550,29.07,112.69
Град Београд,Раковица,"ОШ ""Коста Абрашевић"", Београд (Раковица)",2024/25,153,4.16,4.09,4.15,49.57,7.92,11.14,489,8.59,12.09,510,7.80,13.00,479,24.39,83.52
Град Београд,Раковица,"ОШ ""Никола Тесла"", Београд (Раковица)",2024/25,195,4.42,4.28,4.28,51.95,8.56,12.23,515,9.24,13.21,532,8.51,14.19,504,26.31,96.63
Град Београд,Раковица,"ОШ ""Франце Прешерн"", Београд (Раковица)",2024/25,79,4.23,4.05,4.11,49.55,8.79,12.41,520,9.09,12.63,522,9.24,15.39,549,27.20,85.79
Град Београд,Савски венац,"ОШ ""Антон Скала"", Београд (Савски Венац)",2024/25,11,4.92,4.90,4.99,59.23,13.81,,,14.00,,,,,,39.54,
Град Београд,Савски венац,"ОШ ""Војвода Мишић"", Београд (Савски Венац)",2024/25,46,4.54,4.43,4.51,53.93,10.61,15.16,587,11.66,16.66,602,9.88,16.47,578,32.16,97.78
Град Београд,Савски венац,"ОШ ""Војвода Радомир Путник"", Београд (Савски Венац)",2024/25,67,4.39,4.28,4.32,52.00,8.50,12.14,513,9.57,13.67,541,8.65,14.42,501,26.72,107.37
Град Београд,Савски венац,"ОШ ""Др Драган Херцог"", Београд (Савски Венац)",2024/25,22,4.32,4.47,4.76,54.19,10.40,12.23,530,10.66,13.54,541,9.00,15.00,535,31.00,82.01
Град Београд,Савски венац,"ОШ ""Исидора Секулић"", Београд (Савски Венац)",2024/25,38,4.37,4.28,4.36,52.02,8.58,12.26,516,10.16,14.51,558,9.02,15.04,530,27.77,94.50
Град Београд,Савски венац,"ОШ ""Креативно перо"", Београд (Савски Венац)",2024/25,14,4.81,4.69,4.66,56.62,7.78,11.11,488,8.33,11.89,506,8.77,14.62,519,25.87,94.93
Град Београд,Савски венац,"ОШ ""Монтесори"", Београд (Савски Венац)",2024/25,9,4.72,4.65,4.72,56.34,9.84,14.21,548,8.21,12.57,508,9.00,15.00,529,26.98,171.25
Град Београд,Савски венац,"ОШ ""Петар Петровић Његош"", Београд (Савски Венац)",2024/25,58,4.50,4.37,4.33,52.77,10.07,14.39,568,10.79,15.41,577,9.59,15.98,548,30.45,106.24
Град Београд,Савски венац,"ОШ ""Радојка Лакић"", Београд (Савски Венац)",2024/25,35,4.22,4.09,4.27,50.30,8.19,11.46,496,9.42,13.32,534,9.18,15.29,527,26.83,85.60
Град Београд,Савски венац,"ОШ ""Стефан Немања"", Београд (Савски Венац)",2024/25,51,4.34,4.21,4.36,51.64,9.62,13.75,553,10.39,14.84,565,9.11,15.19,537,29.12,94.68
Град Београд,Савски венац,"Школа за основно образовање одраслих ""Ђуро Салај"", Београд (Савски Венац)",2024/25,196,2.67,2.77,3.22,35.57,6.84,,,4.01,,,,,,16.64,72.57
Град Београд,Савски венац,"Школа за оштећене слухом-наглуве ""Стефан Дечански"", Београд (Савски Венац)",2024/25,13,4.52,4.50,4.47,53.99,11.62,,,11.03,,,,,,33.56,
